,Sum titles,1,,,AR1,2,,,AR1,3,,,AR1,4,,,AR1,5,,,AR1,6,,,AR1,7,,,AR1,8,,,AR1,9,,,AR1,10,,,AR1,11,,,AR1,12,,,AR1,13,,,AR1,14,,,AR1,15,,,AR1,16,,,AR1,17,,,AR1,18,,,AR1,19,,,AR1,20,,,AR1,21,,,AR1,22,,,AR1,23,,,AR1,24,,,AR1,25,,,AR1,26,,,AR1,27,,,AR1,28,,,AR1,29,,,AR1,30,,,AR1,31,,,AR1,32,,,AR1,33,,,AR1,34,,,AR1,35,,,AR1,36,,,AR1,37,,,AR1,38,,,AR1,39,,,AR1,40,,,AR1,41,,,AR1,42,,,AR1,43,,,AR1,44,,,AR1,45,,,AR1,Sum titles,count0,count1,count2,count3,,,
,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,,,,,,,,
1,Managing\ Planning,,1,1,2,,1,1,2,,1,,1,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,1,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,1,1,2,,,,0,,,1,1,,,,0,,,,0,,1,,1,,1,1,2,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,1,1,1,3,,,,0,,,,0,,,,0,,,,0,Managing\ Planning,32,5,5,3,,,
2s,Goal-setting (s) for supervisee,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,Goal-setting (s) for supervisee,42,3,0,0,,,
2c,Goal-setting (c) for client,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Goal-setting (c) for client,45,0,0,0,,,
3,Acknowledging,,1,1,2,,,1,1,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,2,,,,0,,,,0,,,1,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,,0,,,1,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,Acknowledging,32,11,2,0,,,
4,Gathering information,,,,0,1,1,1,3,,,,0,,1,1,2,,,,0,1,,,1,,1,,1,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,,0,,,,0,1,1,1,3,,,1,1,,,,0,,1,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Gathering information,33,6,3,3,,,
5,Summarizing,,,,0,,,,0,,,,0,,,1,1,,,,0,1,1,1,3,1,1,1,3,,,,0,1,,,1,,,,0,1,,,1,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,1,1,1,,,1,1,,1,2,1,,,1,,,1,1,,,1,1,,,,0,,,,0,1,,1,2,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,1,1,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,,0,Summarizing,27,10,4,4,,,
6,Supporting,1,,,1,,,,0,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,,1,2,1,1,1,3,,,1,1,1,1,1,3,1,,1,2,1,1,1,3,,1,,1,,,,0,1,1,1,3,1,,,1,1,1,1,3,1,,1,2,,,,0,1,1,1,3,,,,0,,,,0,1,,1,2,,,,0,1,,1,2,1,1,1,3,1,,1,2,1,1,,2,1,,,1,,,,0,1,,,1,1,,,1,1,1,1,3,1,1,,2,,,1,1,,1,1,2,,1,,1,1,1,1,3,,1,1,2,1,,1,2,1,,,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,Supporting,7,10,11,17,,,
7+,Providing positive feedback,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Providing positive feedback,45,0,0,0,,,
7-,Providing negative feedback,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Providing negative feedback,45,0,0,0,,,
